ID,Name,Sex,AGE_15_20,AGE_20_25,AGE_25_30,AGE_30_35,AGE_35_40,AGE_40_and_above,Height_Below_200,Height_Above_200,Weight_50_75,Weight_75_100,Weight_above_100,Medal
100,Rose Anderson,0,0,1,0,0,0,0,1,0,1,0,0,0
101,"William Lloyd ""Willie"" Anderson, Jr.",1,0,1,0,0,0,0,1,0,0,1,0,1
102,Bjrn-Peter Andersson,1,0,1,0,0,0,0,1,0,1,0,0,0
103,Andr Ernesto Stoffel,1,1,0,0,0,0,0,0,1,0,1,0,0
104,Armin Andres,1,0,0,0,1,0,0,1,0,0,1,0,0
105,Enrique Andreu Balbuena,1,1,0,0,0,0,0,0,1,0,0,1,0
106,Enrique Andreu Balbuena,1,0,1,0,0,0,0,0,1,0,0,1,0
107,Vladimir Georgiyevich Andreyev,1,0,1,0,0,0,0,0,1,0,1,0,1
108,"Konstantinos ""Dinos"" Angelidis-Khronis",1,0,0,1,0,0,0,0,1,0,0,1,0
109,Francisco Alberto Angulo Espinosa,1,0,0,1,0,0,0,1,0,0,1,0,0
110,Martin Ansa Ortz,1,0,1,0,0,0,0,1,0,1,0,0,0
111,"Christopher John ""Chris"" Anstey",1,0,1,0,0,0,0,0,1,0,0,1,0
112,"Christopher John ""Chris"" Anstey",1,0,0,0,1,0,0,0,1,0,0,1,0
113,Eva Antalecov,0,0,0,1,0,0,0,1,0,1,0,0,0
114,Carmelo Kyan Anthony,1,1,0,0,0,0,0,0,1,0,0,1,1
115,Carmelo Kyan Anthony,1,0,1,0,0,0,0,0,1,0,0,1,3
116,Carmelo Kyan Anthony,1,0,0,1,0,0,0,0,1,0,0,1,3
117,Carmelo Kyan Anthony,1,0,0,0,1,0,0,0,1,0,0,1,3
118,Nicole Antibe,0,0,0,1,0,0,0,1,0,0,1,0,0
119,Roger Antoine,1,0,0,0,1,0,0,1,0,0,1,0,0
120,Roger Antoine,1,0,0,0,0,1,0,1,0,0,1,0,0
121,Semyon Sergeyevich Antonov,1,0,1,0,0,0,0,0,1,0,1,0,1
122,Nataliya Valeryevna Anufriyenko,0,0,1,0,0,0,0,1,0,1,0,0,0
123,Reiko Aonuma (-Fujisawa),0,0,1,0,0,0,0,1,0,1,0,0,0
124,Jos Aparecido Aparecido dos Santos,1,0,1,0,0,0,0,0,1,0,1,0,0
125,Jos Aparecido Aparecido dos Santos,1,0,1,0,0,0,0,0,1,0,1,0,0
126,"Richard Jason ""Rick"" Apodaca",1,0,1,0,0,0,0,1,0,0,1,0,0
127,Franjo Arapovi,1,0,1,0,0,0,0,0,1,0,0,1,2
128,Franjo Arapovi,1,0,0,1,0,0,0,0,1,0,0,1,2
129,Anelija Arbutina (-arenac),0,0,1,0,0,0,0,1,0,1,0,0,2
130,Fernando Arcega Aperte,1,0,1,0,0,0,0,0,1,0,1,0,2
131,Fernando Arcega Aperte,1,0,0,1,0,0,0,0,1,0,1,0,0
132,Jos ngel Arcega Aperte,1,0,0,1,0,0,0,1,0,0,1,0,0
133,"Robert Michael Archibald, Jr.",1,0,0,0,1,0,0,0,1,0,0,1,0
134,"Aniekan Okon ""Koko"" Archibong",1,0,0,0,1,0,0,0,1,0,1,0,0
135,Miguel Arellano Moreno,1,0,1,0,0,0,0,1,0,0,1,0,0
136,Miguel Arellano Moreno,1,0,0,1,0,0,0,1,0,0,1,0,0
137,Anna Valeryevna Arkhipova,0,0,0,1,0,0,0,1,0,1,0,0,0
138,Anna Valeryevna Arkhipova,0,0,0,0,1,0,0,1,0,1,0,0,1
139,"Michel Taylor ""Tate"" Armstrong",1,1,0,0,0,0,0,1,0,0,1,0,3
140,Lorenza Arnetoli,0,0,1,0,0,0,0,1,0,1,0,0,0
141,Jay Joseph Hoyland Arnette,1,0,1,0,0,0,0,1,0,0,1,0,3
142,Carlos Alberto Arroyo Bermudez,1,0,1,0,0,0,0,1,0,0,1,0,0
143,Olga Dmitriyevna Arteshina,0,1,0,0,0,0,0,1,0,0,1,0,0
144,Olga Dmitriyevna Arteshina,0,0,1,0,0,0,0,1,0,0,1,0,1
145,Olga Dmitriyevna Arteshina,0,0,0,1,0,0,0,1,0,0,1,0,0
146,Vladimir Ivanovich Arzamaskov,1,0,1,0,0,0,0,1,0,0,1,0,1
147,scar Asiain Ruiz,1,1,0,0,0,0,0,1,0,1,0,0,0
148,Atanas Vasilev Atanasov,1,0,1,0,0,0,0,1,0,0,1,0,0
149,Atanas Vasilev Atanasov,1,0,1,0,0,0,0,1,0,0,1,0,0
150,Nancy Atiez Snchez,0,0,1,0,0,0,0,1,0,1,0,0,0
151,Alain Pierre Attalah,1,1,0,0,0,0,0,1,0,0,1,0,0
152,Alain Pierre Attalah,1,0,1,0,0,0,0,1,0,0,1,0,0
153,Chelsea Ann Aubry,0,0,0,1,0,0,0,1,0,0,1,0,0
154,Stacey Orlando Augmon,1,1,0,0,0,0,0,1,0,0,1,0,1
155,Seimone Delicia Augustus,0,0,1,0,0,0,0,1,0,1,0,0,3
156,Seimone Delicia Augustus,0,0,0,1,0,0,0,1,0,1,0,0,3
157,Seimone Delicia Augustus,0,0,0,0,1,0,0,1,0,1,0,0,3
158,Vule Avdalovi,1,0,1,0,0,0,0,1,0,0,1,0,0
159,Eulalio Avila Senz,1,1,0,0,0,0,0,1,0,0,1,0,0
160,Eulalio Avila Senz,1,0,1,0,0,0,0,1,0,0,1,0,0
161,Ruslan Shamilyevich Avleyev,1,0,1,0,0,0,0,1,0,0,0,1,0
162,Antonio Ayala Arias,1,0,1,0,0,0,0,1,0,0,1,0,0
163,Antonio Ayala Arias,1,0,0,1,0,0,0,1,0,0,1,0,0
164,Valriane Ayayi,0,0,1,0,0,0,0,1,0,1,0,0,0
